BayesianSearch: Config is suboptimal. Config: {'alphas0': 32, 'alphas1': 43, 'alphas10': 2, 'alphas11': 4, 'alphas12': 45, 'alphas13': 10, 'alphas2': 1, 'alphas3': 44, 'alphas4': 26, 'alphas5': 1, 'alphas6': 20, 'alphas7': 3, 'alphas8': 38, 'alphas9': 38} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08444238430926317, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 36, 'alphas1': 2, 'alphas10': 0, 'alphas11': 40, 'alphas12': 43, 'alphas13': 40, 'alphas2': 31, 'alphas3': 45, 'alphas4': 17, 'alphas5': 39, 'alphas6': 11, 'alphas7': 37, 'alphas8': 2, 'alphas9': 12} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08779598141918714, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 36, 'alphas1': 2, 'alphas10': 0, 'alphas11': 40, 'alphas12': 43, 'alphas13': 40, 'alphas2': 31, 'alphas3': 45, 'alphas4': 17, 'alphas5': 39, 'alphas6': 11, 'alphas7': 37, 'alphas8': 2, 'alphas9': 12} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0845080, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 42, 'alphas1': 1, 'alphas10': 7, 'alphas11': 41, 'alphas12': 41, 'alphas13': 45, 'alphas2': 45, 'alphas3': 43, 'alphas4': 27, 'alphas5': 5, 'alphas6': 43, 'alphas7': 22, 'alphas8': 36, 'alphas9': 33} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08470771518009196, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 38, 'alphas1': 3, 'alphas10': 9, 'alphas11': 4, 'alphas12': 44, 'alphas13': 45, 'alphas2': 28, 'alphas3': 35, 'alphas4': 44, 'alphas5': 37, 'alphas6': 45, 'alphas7': 3, 'alphas8': 2, 'alphas9': 12} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08780405295847148, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 38, 'alphas1': 3, 'alphas10': 9, 'alphas11': 4, 'alphas12': 44, 'alphas13': 45, 'alphas2': 28, 'alphas3': 35, 'alphas4': 44, 'alphas5': 37, 'alphas6': 45, 'alphas7': 3, 'alphas8': 2, 'alphas9': 12} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0844105, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 44, 'alphas1': 8, 'alphas10': 6, 'alphas11': 4, 'alphas12': 38, 'alphas13': 15, 'alphas2': 0, 'alphas3': 44, 'alphas4': 17, 'alphas5': 40, 'alphas6': 39, 'alphas7': 17, 'alphas8': 10, 'alphas9': 45} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08706183243428023, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 45, 'alphas1': 43, 'alphas10': 0, 'alphas11': 16, 'alphas12': 37, 'alphas13': 40, 'alphas2': 36, 'alphas3': 29, 'alphas4': 45, 'alphas5': 43, 'alphas6': 33, 'alphas7': 44, 'alphas8': 0, 'alphas9': 5} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08292669049423779, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
