BayesianSearch: Config is suboptimal. Config: {'alphas0': 19.851387833088207, 'alphas1': 1.4089418379095275, 'alphas2': 0.7648879831973621, 'alphas3': 1.9968735805576343, 'alphas4': 19.451721019652595, 'alphas5': 7.479156274989551, 'alphas6': 2.435654401197429, 'alphas7': 18.177918421465197, 'alphas8': 4.62256063710562, 'alphas9': 18.821107107288885} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08304965041410847, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 19.478352544431317, 'alphas1': 0.8694627741708927, 'alphas2': 18.004679153372766, 'alphas3': 15.916343406991125, 'alphas4': 16.744088122130513, 'alphas5': 1.8916501730997881, 'alphas6': 1.9287387845761406, 'alphas7': 4.052413176046481, 'alphas8': 18.810064300361027, 'alphas9': 0.24866747418484492} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08392777846985013, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 0.7703591515218933, 'alphas1': 19.526667315738788, 'alphas2': 19.79944495465072, 'alphas3': 19.385181998623466, 'alphas4': 19.99230739584918, 'alphas5': 19.01779701723307, 'alphas6': 2.0543216176618873, 'alphas7': 0.5935482110566515, 'alphas8': 9.564978842101459, 'alphas9': 8.733979758419949} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08589431731730954, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 2.145896923804844, 'alphas1': 17.33864278336807, 'alphas2': 3.8887201078670897, 'alphas3': 19.890631992741632, 'alphas4': 3.6939031625976604, 'alphas5': 3.4559717779134136, 'alphas6': 1.9514230472913208, 'alphas7': 19.50545881294789, 'alphas8': 0.1281070446237953, 'alphas9': 17.76938864873418} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08449056073025851, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 18.958588167572646, 'alphas1': 5.104428678901405, 'alphas2': 19.088107343971483, 'alphas3': 19.719727154484897, 'alphas4': 0.8596399929447873, 'alphas5': 11.362749696978199, 'alphas6': 0.08502153601507301, 'alphas7': 16.911849207937802, 'alphas8': 2.183246107727992, 'alphas9': 1.299968449656419} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08835060383732778, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 17.777520640713604, 'alphas1': 0.628763080885919, 'alphas2': 1.8166541730359587, 'alphas3': 16.562388507285306, 'alphas4': 6.632805241825053, 'alphas5': 18.707086800226385, 'alphas6': 4.2225371927004, 'alphas7': 19.746726647414896, 'alphas8': 5.84373512719141, 'alphas9': 0.6445062394355028} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08864970075538586, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 19.28807708878855, 'alphas1': 19.039037302176737, 'alphas2': 1.2548566714686538, 'alphas3': 19.875092371406385, 'alphas4': 19.719955825342826, 'alphas5': 12.678414571161357, 'alphas6': 0.8850067395737193, 'alphas7': 18.19246269999112, 'alphas8': 1.2048131044403187, 'alphas9': 3.2725968809295947} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08660904790994188, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 2.5407798166274786, 'alphas1': 16.04254790132799, 'alphas2': 2.7337741306704233, 'alphas3': 17.232373721626075, 'alphas4': 3.180395943551846, 'alphas5': 3.625768597878387, 'alphas6': 0.13015121213801661, 'alphas7': 16.667452978590976, 'alphas8': 18.03107640860804, 'alphas9': 0.3771536707288381} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08369410108924782, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 0.7259778024199326, 'alphas1': 1.7489006642999838, 'alphas2': 0.0433029972576815, 'alphas3': 19.619537612413804, 'alphas4': 2.050292688360955, 'alphas5': 18.312474178036705, 'alphas6': 3.31465267999016, 'alphas7': 2.2671703683294453, 'alphas8': 0.154755559430253, 'alphas9': 2.685772296233564} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08545882813143629, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 2.04601336146222, 'alphas1': 12.645928549489815, 'alphas2': 18.486380475140212, 'alphas3': 3.0773105782418297, 'alphas4': 19.173796649509022, 'alphas5': 19.7286831705195, 'alphas6': 2.08208614383089, 'alphas7': 19.50948539074687, 'alphas8': 1.6045409350093642, 'alphas9': 19.306028698466392} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08338106792969344, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
