BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 10.173451771697795, 'alphas1': 26.623592709538503, 'alphas10': 14.017135120990748, 'alphas11': 12.252950326447653, 'alphas12': 3.8448041299299964, 'alphas13': 25.02784406685606, 'alphas2': 34.156905910183504, 'alphas3': 32.083838321071376, 'alphas4': 4.690603367001122, 'alphas5': 2.8185196192165254, 'alphas6': 37.780837040425304, 'alphas7': 24.21701697533007, 'alphas8': 17.91342455365691, 'alphas9': 46.35771196272635} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0835853, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 36.61471199676502, 'alphas1': 46.335201320961026, 'alphas10': 46.61030122404834, 'alphas11': 24.381292115998495, 'alphas12': 42.4117382890796, 'alphas13': 48.45856741354472, 'alphas2': 4.277396713434173, 'alphas3': 19.499991729514722, 'alphas4': 38.04010524090554, 'alphas5': 8.104976892657433, 'alphas6': 16.621198300442526, 'alphas7': 38.42401184191765, 'alphas8': 43.85344038636721, 'alphas9': 24.665189409669384} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08576115890986831, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Config is suboptimal. Config: {'alphas0': 8.394791546867008, 'alphas1': 44.48694464677605, 'alphas10': 14.038441520042033, 'alphas11': 16.510773619251, 'alphas12': 7.62429446095596, 'alphas13': 10.404023383511523, 'alphas2': 14.11067667754513, 'alphas3': 33.39606901348867, 'alphas4': 21.934937591181214, 'alphas5': 10.177012447405593, 'alphas6': 49.775646512770535, 'alphas7': 14.35144239617459, 'alphas8': 3.691673967742237, 'alphas9': 25.48961072300256} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08640491755903387, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: New best config found. Config: {'alphas0': 43.07384213097758, 'alphas1': 12.362920083565054, 'alphas10': 1.6482930328478418, 'alphas11': 24.974908688656612, 'alphas12': 48.36209096476952, 'alphas13': 8.483353541258687, 'alphas2': 18.783565353130747, 'alphas3': 38.81336667098314, 'alphas4': 42.391109936911256, 'alphas5': 37.1656002061703, 'alphas6': 48.214787861587915, 'alphas7': 12.014799730266407, 'alphas8': 9.568112363715924, 'alphas9': 26.929146898993682} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08692254052968444, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 43.07384213097758, 'alphas1': 12.362920083565054, 'alphas10': 1.6482930328478418, 'alphas11': 24.974908688656612, 'alphas12': 48.36209096476952, 'alphas13': 8.483353541258687, 'alphas2': 18.783565353130747, 'alphas3': 38.81336667098314, 'alphas4': 42.391109936911256, 'alphas5': 37.1656002061703, 'alphas6': 48.214787861587915, 'alphas7': 12.014799730266407, 'alphas8': 9.568112363715924, 'alphas9': 26.929146898993682} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0836926, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: New best config found. Config: {'alphas0': 6.72289164161437, 'alphas1': 25.603787272816636, 'alphas10': 6.68556931142853, 'alphas11': 27.655863164077036, 'alphas12': 12.490113346701648, 'alphas13': 10.84887629251966, 'alphas2': 31.439362973264394, 'alphas3': 44.311242631513906, 'alphas4': 40.70048077898111, 'alphas5': 2.5661747929478396, 'alphas6': 37.90579977124487, 'alphas7': 3.2307037832060956, 'alphas8': 5.340154368343702, 'alphas9': 34.067887483862215} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08761490133044936, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
BayesianSearch: Best result evaluated on URM_test. Config: {'alphas0': 6.72289164161437, 'alphas1': 25.603787272816636, 'alphas10': 6.68556931142853, 'alphas11': 27.655863164077036, 'alphas12': 12.490113346701648, 'alphas13': 10.84887629251966, 'alphas2': 31.439362973264394, 'alphas3': 44.311242631513906, 'alphas4': 40.70048077898111, 'alphas5': 2.5661747929478396, 'alphas6': 37.90579977124487, 'alphas7': 3.2307037832060956, 'alphas8': 5.340154368343702, 'alphas9': 34.067887483862215} - results: CUTOFF: 10 - ROC_AUC: 0.0000000, PRECISION: 0.0000000, RECALL: 0.0000000, RECALL_TEST_LEN: 0.0000000, MAP: 0.0845407, MRR: 0.0000000, NDCG: 0.0000000, F1: 0.0000000, HIT_RATE: 0.0000000, ARHR: 0.0000000, NOVELTY: 0.0000000, DIVERSITY_MEAN_INTER_LIST: 1.0000000, DIVERSITY_HERFINDAHL: nan, COVERAGE_ITEM: 0.0000000, COVERAGE_USER: 0.0000000, DIVERSITY_GINI: 0.0000000, SHANNON_ENTROPY: -0.0000000, 

BayesianSearch: Config is suboptimal. Config: {'alphas0': 3.757297096316936, 'alphas1': 8.039549369165954, 'alphas10': 39.12072216452691, 'alphas11': 11.834371873453941, 'alphas12': 36.925906029300556, 'alphas13': 45.88554369928614, 'alphas2': 16.133380760964666, 'alphas3': 11.210009296942308, 'alphas4': 25.504687018517675, 'alphas5': 17.853205368363245, 'alphas6': 11.329326154646957, 'alphas7': 35.31261102918562, 'alphas8': 16.040389013422292, 'alphas9': 0.39929578607765803} - results: {'ROC_AUC': 0.0, 'PRECISION': 0.0, 'RECALL': 0.0, 'RECALL_TEST_LEN': 0.0, 'MAP': 0.08486337985414752, 'MRR': 0.0, 'NDCG': 0.0, 'F1': 0.0, 'HIT_RATE': 0.0, 'ARHR': 0.0, 'NOVELTY': 0.0, 'DIVERSITY_MEAN_INTER_LIST': 1.0, 'DIVERSITY_HERFINDAHL': nan, 'COVERAGE_ITEM': 0.0, 'COVERAGE_USER': 0.0, 'DIVERSITY_GINI': 0.0, 'SHANNON_ENTROPY': -0.0}
